id_esp,componente_biologico,especie,subsp_var,sinonimo,genero,familia,orden,clase,phylum_division,reino,nombre_comun,nombre_ingles,habito_crecimiento,ds_004_2014_minagri,ds_043_2006_ag,uicn_2020_3,cites_2019,endemismo,migracion
3022,Mastofauna,Abrocoma cinerea,,,Abrocoma,Abrocomidae,Rodentia,Mammalia,Chordata,Animalia,Rata chinchilla cenicienta,Ashy Chinchilla Rat,No aplica,No categorizada,No aplica,LC,No incluida,No endemica,No aplica
3023,Mastofauna,Abrothrix andinus,,Chroeomys andinus,Abrothrix,Cricetidae,Rodentia,Mammalia,Chordata,Animalia,Raton campestre andino,"Andean Akodont, Andean Altiplano Mouse, Andean Grass Mouse",No aplica,No categorizada,No aplica,LC,No incluida,No endemica,No aplica
3024,Mastofauna,Abrothrix jelskii,,Chroeomys jelskii,Abrothrix,Cricetidae,Rodentia,Mammalia,Chordata,Animalia,Raton campestre de jelski,"Jelski's Altiplano Mouse, Ornate Akodont, Ornate Grass Mouse, Ornate Soft-haired Mouse",No aplica,No categorizada,No aplica,LC,No incluida,No endemica,No aplica
3025,Mastofauna,Akodon albiventer,,,Akodon,Cricetidae,Rodentia,Mammalia,Chordata,Animalia,Raton campestre de vientre blanco,"White-bellied Grass Mouse, White-bellied Akodont",No aplica,No categorizada,No aplica,LC,No incluida,No endemica,No aplica
3026,Mastofauna,Akodon boliviensis,,,Akodon,Cricetidae,Rodentia,Mammalia,Chordata,Animalia,Raton campestre boliviano,"Bolivian Grass Mouse, Bolivian Akodont, Bolivian Akodon",No aplica,No categorizada,No aplica,LC,No incluida,No endemica,No aplica
3027,Mastofauna,Akodon subfuscus,,,Akodon,Cricetidae,Rodentia,Mammalia,Chordata,Animalia,Raton campestre moreno,"Puno Grass Mouse, Puno Akodont",No aplica,No categorizada,No aplica,LC,No incluida,No endemica,No aplica
3028,Mastofauna,Amorphochilus schnablii,,,Amorphochilus,Furipteridae,Chiroptera,Mammalia,Chordata,Animalia,Murcielago ahumado,"Smoky Bat, Smokey Bat, Schnabl’s Smoky Bat",No aplica,EN,No aplica,VU,No incluida,No endemica,No aplica
3029,Mastofauna,Arctocephalus australis,,,Arctocephalus,Otariidae,Carnivora,Mammalia,Chordata,Animalia,Lobo fino / cochapuma,South American Fur Seal,No aplica,EN,No aplica,LC,Apendice II,No endemica,No aplica
3030,Mastofauna,Auliscomys boliviensis,,Phyllotis boliviensis,Auliscomys,Cricetidae,Rodentia,Mammalia,Chordata,Animalia,Raton orejon boliviano / Achulla / Achohalla / Pericote Orejon Boliviano,"Bolivian Big-eared Mouse, Bolivian Pericote",No aplica,No categorizada,No aplica,LC,No incluida,No endemica,No aplica
3031,Mastofauna,Auliscomys pictus,,,Auliscomys,Cricetidae,Rodentia,Mammalia,Chordata,Animalia,Raton orejon pintado / Hucucha Guanaco,"Painted Big-eared Mouse, Colorful Pericote",No aplica,No categorizada,No aplica,LC,No incluida,No endemica,No aplica
3032,Mastofauna,Auliscomys sublimis,,,Auliscomys,Cricetidae,Rodentia,Mammalia,Chordata,Animalia,Raton orejon sublime / Pericote de la Puna / Pericote Andino,"Andean Big-eared Mouse, Lofty Pericote",No aplica,No categorizada,No aplica,LC,No incluida,No endemica,No aplica
